"Genome ID","Genome Name","Version","PBP1a","PBP2b","PBP2x","amx","amxMic","croMeningitis","croMic","croNonMeningitis","ctxMeningitis","ctxMic","ctxNonMeningitis","cxm","cxmMic","mem","memMic","penMeningitis","penMic","penNonMeningitis"
"64d3c1cf177ad428d25ab15b","AYCs065","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad4292d5ab13d","AYCs024","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad42f2c5ab16a","AYCs080","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad42f8e5ab133","AYCs014","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad432535ab155","AYCs056","v0.0.1","2","0","3","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad433305ab129","AYCs004","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad434615ab15c","AYCs066","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad438065ab154","AYCs055","v0.0.1","NF","0","NEW","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad43b6f5ab127","AYCs002","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad43e945ab151","AYCs050","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad441395ab152","AYCs053","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad441685ab143","AYCs030","v0.0.1","2","0","NEW","S","= 0.06","S","<= 0.5","S","S","= 0.12","S","S","<= 0.5","S","<= 0.06","S","= 0.06","S"
"64d3c1cf177ad4462a5ab169","AYCs079","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad449b85ab12c","AYCs007","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad4526f5ab130","AYCs011","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad453025ab12e","AYCs009","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad454c45ab134","AYCs015","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
"64d3c1cf177ad454cc5ab175","AYCs091","v0.0.1","NF","2","2","NF","NF NF",""," ","","","NF NF","",""," ","NF","NF NF","NF","NF NF","NF"
"64d3c1cf177ad455055ab173","AYCs089","v0.0.1","1","2","2","S","<= 0.03","S","<= 0.5","S","S","<= 0.06","S","S","<= 0.5","S","<= 0.06","S","<= 0.03","S"
"64d3c1cf177ad455ff5ab136","AYCs017","v0.0.1","15","12","18","S","= 2","I","= 1","S","I","= 1","S","R","> 2","I","= 0.5","R","= 2","S"
