"Genome ID","Genome Name","Version","Library Version","Variants","Acquired"
"665a03fda05b974f8ec9090c","AYCs016","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b97510fc90913","AYCs023","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b975157c908e6","2683475_15","v3.0.1","0.0.16","",""
"665a03fda05b97528fc908f0","2683485_25","v3.0.1","0.0.16","",""
"665a03fda05b97560ac9092b","AYCs054","v3.0.1","0.0.16","",""
"665a03fda05b9756b8c908cc","2662277_E5","v3.0.1","0.0.16","",""
"665a03fda05b97584fc9093e","AYCs076","v3.0.1","0.0.16","",""
"665a03fda05b9758d7c908e4","2683473_13","v3.0.1","0.0.16","",""
"665a03fda05b975938c90914","AYCs024","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b975a83c90947","AYCs085","v3.0.1","0.0.16","",""
"665a03fda05b975b41c908c0","2662265_A4","v3.0.1","0.0.16","","aph_3prime_III_1"
"665a03fda05b975baac9090e","AYCs018","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b975d03c908d4","2662285_E6","v3.0.1","0.0.16","",""
"665a03fda05b975ea5c90930","AYCs061","v3.0.1","0.0.16","",""
"665a03fda05b975eccc908d1","2662282_B6","v3.0.1","0.0.16","","aph_3prime_III_1"
"665a03fda05b975f43c908a8","2662241_A1","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b975fffc90936","AYCs068","v3.0.1","0.0.16","",""
"665a03fda05b97672fc90917","AYCs027","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b976852c908f6","2683491_31","v3.0.1","0.0.16","",""
"665a03fda05b976877c90952","SP_305","v3.0.1","0.0.16","",""
"665a03fda05b976a2dc90953","SP_306","v3.0.1","0.0.16","",""
"665a03fda05b976a4ac90924","AYCs042","v3.0.1","0.0.16","",""
"665a03fda05b976b91c908b1","2662250_B2","v3.0.1","0.0.16","",""
"665a03fda05b976bc8c908fc","2683497_37","v3.0.1","0.0.16","",""
"665a03fda05b976cc5c908c7","2662272_H4","v3.0.1","0.0.16","",""
"665a03fda05b976d20c9090f","AYCs019","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b976d2ac90907","AYCs011","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b976efbc908fe","AYCs002","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b977354c908dc","2683465_5","v3.0.1","0.0.16","",""
"665a03fda05b97748ec9093d","AYCs075","v3.0.1","0.0.16","",""
"665a03fda05b9774ddc908df","2683468_8","v3.0.1","0.0.16","",""
"665a03fda05b9774dfc90932","AYCs063","v3.0.1","0.0.16","",""
"665a03fda05b977587c9091e","AYCs035","v3.0.1","0.0.16","",""
"665a03fda05b977705c908d3","2662284_D6","v3.0.1","0.0.16","",""
"665a03fda05b977796c9094e","AYCs092","v3.0.1","0.0.16","","aph_3prime_III_1"
"665a03fda05b977a14c908f4","2683489_29","v3.0.1","0.0.16","",""
"665a03fda05b977a48c90900","AYCs004","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b977aa1c9090d","AYCs017","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b977bc3c908ab","2662244_D1","v3.0.1","0.0.16","",""
"665a03fda05b977c55c908b7","2662256_H2","v3.0.1","0.0.16","folP_aa_insert_57-70",""
"665a03fda05b977d7ac908fb","2683496_36","v3.0.1","0.0.16","",""
"665a03fda05b977d7ac90949","AYCs087","v3.0.1","0.0.16","",""
"665a03fda05b977defc90948","AYCs086","v3.0.1","0.0.16","",""
"665a03fda05b977e72c9094f","AYCs093","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b977f39c908d6","2662287_G6","v3.0.1","0.0.16","",""
"665a03fda05b977fb8c908c4","2662269_E4","v3.0.1","0.0.16","",""
"665a03fda05b9780a1c908dd","2683466_6","v3.0.1","0.0.16","",""
"665a03fda05b97820fc908cb","2662276_D5","v3.0.1","0.0.16","",""
"665a03fda05b978483c908ed","2683482_22","v3.0.1","0.0.16","",""
"665a03fda05b978544c908ea","2683479_19","v3.0.1","0.0.16","",""
"665a03fda05b978630c908ce","2662279_G5","v3.0.1","0.0.16","",""
"665a03fda05b978b80c90929","AYCs050","v3.0.1","0.0.16","",""
"665a03fda05b9791a7c908c8","2662273_A5","v3.0.1","0.0.16","",""
"665a03fda05b9797afc9091b","AYCs031","v3.0.1","0.0.16","",""
"665a03fda05b979806c908c6","2662271_G4","v3.0.1","0.0.16","",""
"665a03fda05b979843c908f2","2683487_27","v3.0.1","0.0.16","",""
"665a03fda05b979c21c9092d","AYCs056","v3.0.1","0.0.16","",""
"665a03fda05b979fafc90925","AYCs045","v3.0.1","0.0.16","",""
"665a03fda05b97a277c908bb","2662260_D3","v3.0.1","0.0.16","",""
"665a03fda05b97a376c9094d","AYCs091","v3.0.1","0.0.16","",""
"665a03fda05b97a387c908c1","2662266_B4","v3.0.1","0.0.16","",""
"665a03fda05b97a564c90916","AYCs026","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b97a858c9093a","AYCs072","v3.0.1","0.0.16","",""
"665a03fda05b97a8edc9092e","AYCs057","v3.0.1","0.0.16","",""
"665a03fda05b97aaa6c908e0","2683469_9","v3.0.1","0.0.16","",""
"665a03fda05b97abdbc908af","2662248_H1","v3.0.1","0.0.16","",""
"665a03fda05b97ad59c908a6","22F_KO","v3.0.1","0.0.16","",""
"665a03fda05b97b16fc908c9","2662274_B5","v3.0.1","0.0.16","",""
"665a03fda05b97b2c9c90903","AYCs007","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b97b368c908e9","2683478_18","v3.0.1","0.0.16","",""
"665a03fda05b97b39dc908b6","2662255_G2","v3.0.1","0.0.16","",""
"665a03fda05b97b3d1c9092a","AYCs053","v3.0.1","0.0.16","",""
"665a03fda05b97b466c90909","AYCs013","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b97b4a1c9093b","AYCs073","v3.0.1","0.0.16","",""
"665a03fda05b97b591c908f7","2683492_32","v3.0.1","0.0.16","",""
"665a03fda05b97bbbec90918","AYCs028","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b97bf3dc908be","2662263_G3","v3.0.1","0.0.16","",""
"665a03fda05b97c1abc90911","AYCs021","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b97c67bc9091a","AYCs030","v3.0.1","0.0.16","",""
"665a03fda05b97c829c908b0","2662249_A2","v3.0.1","0.0.16","folP_aa_insert_57-70",""
"665a03fda05b97cbb8c90912","AYCs022","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b97cc49c908a9","2662242_B1","v3.0.1","0.0.16","",""
"665a03fda05b97cd33c908e5","2683474_14","v3.0.1","0.0.16","",""
"665a03fda05b97cff4c908f8","2683493_33","v3.0.1","0.0.16","",""
"665a03fda05b97d029c908c5","2662270_F4","v3.0.1","0.0.16","",""
"665a03fda05b97d31ec9090a","AYCs014","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70","aph_3prime_III_1"
"665a03fda05b97d3fac908d2","2662283_C6","v3.0.1","0.0.16","",""
"665a03fda05b97d9b8c90933","AYCs065","v3.0.1","0.0.16","",""
"665a03fda05b97dda7c90942","AYCs080","v3.0.1","0.0.16","",""
"665a03fda05b97dff1c908b8","2662257_A3","v3.0.1","0.0.16","",""
"665a03fda05b97e050c908f5","2683490_30","v3.0.1","0.0.16","",""
"665a03fda05b97e27bc908a7","22F_WT","v3.0.1","0.0.16","",""
"665a03fda05b97e977c908cf","2662280_H5","v3.0.1","0.0.16","",""
"665a03fda05b97eaeac90934","AYCs066","v3.0.1","0.0.16","",""
"665a03fda05b97ec14c90902","AYCs006","v3.0.1","0.0.16","folA_I100L,folP_aa_insert_57-70",""
"665a03fda05b97ec85c9094b","AYCs089","v3.0.1","0.0.16","",""
"665a03fda05b97f213c90946","AYCs084","v3.0.1","0.0.16","",""
"665a03fda05b97f324c908ba","2662259_C3","v3.0.1","0.0.16","",""
"665a03fda05b97f6bec9093f","AYCs077","v3.0.1","0.0.16","",""
"665a03fda05b97fac1c90938","AYCs070","v3.0.1","0.0.16","",""
"665a03fda05b97fb87c90950","AYCs094","v3.0.1","0.0.16","","aph_3prime_III_1"
"665a03fda05b97fcb0c908f9","2683494_34","v3.0.1","0.0.16","",""
"665a03fda05b97fe2cc908d7","2662288_H6","v3.0.1","0.0.16","",""
"665a03fda05b97fe5fc908bd","2662262_F3","v3.0.1","0.0.16","",""
"665a03fda05b97ff41c9091f","AYCs036","v3.0.1","0.0.16","",""
